Date;Region;Population;Tests;Confirmed;Deaths;Recovered
2020-03-12;Middle East, North Africa;532839714;;11006;443;3078
2020-03-12;Subsaharan Africa;798663011;;35;0;1
2020-03-12;USA;329379809;;1596;40;12
2020-03-12;W. Europe;359687692;92593;23264;952;1280
2020-03-13;Asia;3957174086;248647;90462;3278;65030
2020-03-13;C. Europe;64296279;3094;260;2;0
2020-03-13;Carribean;21775009;;10;0;0
2020-03-13;Common Wealth;135529136;32771;1198;12;50
2020-03-13;E. Europe;324658565;;615;4;19
2020-03-13;Israel;9166920;;161;0;4
2020-03-13;Latin America;575907654;;357;4;4
2020-03-13;Middle East, North Africa;532839714;;12464;531;3098
2020-03-13;Subsaharan Africa;798663011;;62;1;1
2020-03-13;USA;329379809;;2112;47;12
2020-03-13;W. Europe;359687692;104955;36693;1518;1708
2020-03-14;Asia;3957174086;261335;90847;3304;66517
2020-03-14;C. Europe;64296279;4065;366;3;1
2020-03-14;Carribean;21775009;;17;0;0
2020-03-14;Common Wealth;135529136;37746;1599;25;50
2020-03-14;E. Europe;324658565;;818;6;26
2020-03-14;Israel;9166920;;193;0;4
2020-03-14;Latin America;575907654;;450;6;5
2020-03-14;Middle East, North Africa;532839714;;13989;630;3108
2020-03-14;Subsaharan Africa;798663011;;87;1;1
2020-03-14;USA;329379809;;2660;54;12
2020-03-14;W. Europe;359687692;117337;44262;1783;2575
2020-03-15;Asia;3957174086;;91356;3320;67890
2020-03-15;C. Europe;64296279;;458;4;1
2020-03-15;Carribean;21775009;;17;0;0
2020-03-15;Common Wealth;135529136;;1703;25;50
2020-03-15;E. Europe;324658565;;1001;6;31
2020-03-15;Israel;9166920;;251;0;4
2020-03-15;Latin America;575907654;;538;6;5
2020-03-15;Middle East, North Africa;532839714;;15349;744;4755
2020-03-15;Subsaharan Africa;798663011;;124;1;1
2020-03-15;USA;329379809;;3432;63;12
2020-03-15;W. Europe;359687692;;52400;2264;2960
2020-03-16;Asia;3957174086;;91768;3340;69442
2020-03-16;C. Europe;64296279;;577;5;17
2020-03-16;Carribean;21775009;;17;0;0
2020-03-16;Common Wealth;135529136;;2353;63;53
2020-03-16;E. Europe;324658565;;1199;6;34
2020-03-16;Israel;9166920;;255;0;4
2020-03-16;Latin America;575907654;;791;6;6
2020-03-16;Middle East, North Africa;532839714;;16538;874;4784
2020-03-16;Subsaharan Africa;798663011;;166;1;4
2020-03-16;USA;329379809;;4565;85;17
2020-03-16;W. Europe;359687692;;62474;2737;3402
2020-03-17;Asia;3957174086;;92359;3364;70625
2020-03-17;C. Europe;64296279;;756;6;18
2020-03-17;Carribean;21775009;;28;1;0
2020-03-17;Common Wealth;135529136;;2898;66;85
2020-03-17;E. Europe;324658565;;1443;7;47
2020-03-17;Israel;9166920;;337;0;11
2020-03-17;Latin America;575907654;;1126;7;11
2020-03-17;Middle East, North Africa;532839714;;17955;1014;5604
2020-03-17;Subsaharan Africa;798663011;;189;1;5
2020-03-17;USA;329379809;;6353;108;17
2020-03-17;W. Europe;359687692;;72860;3322;4092
